GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008
Id,Id2,Geography,Total:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races
1000000US421010003001031,421010003001031,"Block 1031, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",33,26,1,0,5,0,1,0
1000000US421010003001032,421010003001032,"Block 1032, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010003001033,421010003001033,"Block 1033, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010003001034,421010003001034,"Block 1034, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010003001035,421010003001035,"Block 1035, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010003001036,421010003001036,"Block 1036, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010003001037,421010003001037,"Block 1037, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010003001038,421010003001038,"Block 1038, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010003001039,421010003001039,"Block 1039, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010003001040,421010003001040,"Block 1040, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010003001041,421010003001041,"Block 1041, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010003001042,421010003001042,"Block 1042, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010003001043,421010003001043,"Block 1043, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",150,120,11,0,9,0,5,5
1000000US421010003001044,421010003001044,"Block 1044, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",13,3,10,0,0,0,0,0
